ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
27.95,10.51,55.13,5.9,0.51
27.99,10.43,55.22,5.85,0.51
27.55,11.85,53.44,7.16,0.0
26.94,12.5,53.06,7.5,0.0
26.11,12.22,55.56,6.11,0.0
28.9,13.88,50.99,5.95,0.28
26.5,11.97,54.7,6.84,0.0
26.23,14.21,50.0,9.02,0.55
27.55,14.6,51.79,6.06,0.0
27.14,11.06,55.28,6.53,0.0
27.67,12.6,53.42,6.3,0.0
26.78,12.3,54.1,6.28,0.55
26.67,12.78,53.89,6.39,0.28
26.48,13.24,53.24,6.76,0.28
25.88,12.65,54.12,7.06,0.29
25.72,9.53,55.88,8.87,0.0
27.15,12.63,52.42,7.8,0.0
25.52,15.43,52.82,6.23,0.0
25.37,13.13,53.73,7.46,0.3
25.56,11.52,56.74,6.18,0.0
25.94,12.57,54.81,6.68,0.0
25.62,11.57,56.47,6.34,0.0
25.56,11.67,56.39,6.39,0.0
25.5,12.18,56.09,6.23,0.0
25.63,11.42,56.55,6.41,0.0
25.63,11.42,56.55,6.41,0.0
25.5,12.61,55.3,6.59,0.0
25.91,13.37,55.15,5.57,0.0
25.5,12.75,55.24,6.52,0.0
25.56,11.67,56.67,6.11,0.0
25.42,11.73,56.42,6.15,0.28
27.65,10.12,55.06,7.16,0.0
26.36,12.14,53.49,7.49,0.52
27.18,10.77,55.13,6.67,0.26
27.78,9.9,55.31,7.0,0.0
24.52,12.95,52.34,9.09,1.1
27.25,9.7,54.5,8.08,0.46
25.94,14.41,51.3,7.49,0.86
28.57,9.76,54.52,7.14,0.0
26.67,10.24,53.57,9.05,0.48
26.77,11.02,53.02,8.4,0.79
27.3,10.46,55.87,5.87,0.51
25.34,14.17,53.68,6.81,0.0
27.94,11.49,52.22,8.36,0.0
24.86,12.85,51.4,9.22,1.68
27.14,10.55,50.75,10.55,1.01
27.37,10.74,50.9,9.97,1.02
27.0,11.0,51.0,10.0,1.0
27.48,10.64,51.24,9.65,0.99
25.0,13.74,51.1,9.34,0.82
27.7,11.91,52.35,7.48,0.55
27.35,12.82,51.85,7.41,0.57
26.47,11.76,53.92,7.35,0.49
26.49,11.46,54.18,7.4,0.48
26.85,12.28,52.69,8.18,0.0
27.32,11.22,52.93,8.54,0.0
26.89,10.51,55.01,7.58,0.0
25.88,13.48,53.64,7.01,0.0
26.67,10.77,55.9,6.15,0.51
26.59,11.29,53.41,8.47,0.24
26.07,11.03,56.39,6.52,0.0
27.27,12.73,52.73,7.27,0.0
25.14,13.69,53.07,6.98,1.12
26.5,12.25,54.5,6.5,0.25
27.76,13.31,51.27,6.52,1.13
27.71,13.43,51.14,6.57,1.14
27.71,13.43,51.14,6.57,1.14
27.67,13.54,51.01,6.63,1.15
27.64,13.11,51.28,6.84,1.14
26.29,12.86,51.43,7.14,2.29
25.94,11.34,55.42,6.55,0.76
26.49,11.14,54.7,7.18,0.5
26.44,10.34,56.01,6.49,0.72
27.27,11.62,54.04,7.07,0.0
26.34,11.25,56.01,6.39,0.0
27.81,11.99,52.04,8.16,0.0
26.41,11.49,54.52,7.58,0.0
27.19,11.29,53.23,8.06,0.23
25.0,13.08,50.87,8.43,2.62
27.11,13.68,52.11,6.84,0.26
28.43,10.47,53.62,7.23,0.25
27.46,11.59,54.41,6.3,0.25
28.68,10.29,53.68,7.35,0.0
28.45,13.52,51.55,6.48,0.0
28.8,11.41,47.01,12.77,0.0
25.48,11.91,55.4,6.65,0.55
25.54,12.37,54.84,6.45,0.81
25.48,11.78,55.34,6.58,0.82
26.54,11.53,54.69,6.7,0.54
25.74,11.53,55.76,6.43,0.54
26.18,12.53,54.32,6.41,0.56
24.65,12.32,55.46,6.72,0.84
24.58,12.43,55.37,6.78,0.85
24.57,12.86,54.86,6.86,0.86
25.42,12.43,55.08,6.5,0.56
24.41,13.24,55.29,6.47,0.59
24.65,12.32,55.74,6.44,0.84
24.59,11.75,55.74,7.1,0.82
24.58,12.43,55.65,6.5,0.85
24.65,12.47,55.4,6.65,0.83
25.35,12.68,54.93,6.48,0.56
26.82,12.03,54.14,6.77,0.25
25.48,11.78,55.34,6.58,0.82
24.72,12.36,55.9,6.46,0.56
24.72,12.5,55.68,6.25,0.85
24.72,12.5,55.68,6.25,0.85
26.74,11.83,55.01,6.43,0.0
26.03,11.86,55.67,6.44,0.0
27.02,12.37,54.29,6.31,0.0
26.06,12.23,54.79,6.91,0.0
26.78,12.02,54.37,6.83,0.0
25.29,12.64,54.89,6.61,0.57
25.97,11.95,55.58,6.49,0.0
25.88,12.13,54.99,7.01,0.0
25.22,12.75,54.78,6.67,0.58
27.32,11.34,54.64,6.7,0.0
24.93,12.61,55.01,6.88,0.57
24.86,12.72,54.91,6.94,0.58
25.0,12.36,55.34,7.02,0.28
24.49,13.12,55.1,6.71,0.58
24.43,12.93,55.17,6.9,0.57
24.65,12.46,55.81,6.52,0.57
24.5,13.26,55.04,6.63,0.58
24.73,12.09,56.04,6.59,0.55
25.57,12.78,54.55,7.1,0.0
24.58,12.01,56.15,6.98,0.28
25.25,11.52,53.92,8.58,0.74
25.59,12.79,54.31,7.31,0.0
26.42,12.13,54.45,7.01,0.0
25.27,11.81,56.32,6.32,0.27
26.61,13.17,54.57,5.65,0.0
25.83,15.28,51.39,6.67,0.83
26.1,11.09,55.43,7.16,0.23
25.41,11.75,56.56,6.28,0.0
26.32,12.03,54.14,7.02,0.5
27.17,11.48,53.16,8.2,0.0
24.94,10.69,52.16,9.92,2.29
27.94,12.24,50.12,9.7,0.0
24.94,11.53,53.88,9.65,0.0
27.95,9.83,52.84,8.95,0.44
27.91,9.89,52.75,9.01,0.44
25.28,12.92,54.49,6.74,0.56
26.7,12.38,53.4,7.52,0.0
26.74,12.08,52.7,8.23,0.26
25.21,13.7,53.15,6.85,1.1
25.27,14.56,51.1,8.24,0.82
25.48,11.06,53.85,9.62,0.0
27.17,12.89,53.22,6.16,0.56
23.94,10.29,53.69,12.08,0.0
28.45,13.52,51.55,6.48,0.0
28.24,13.99,50.38,7.38,0.0
28.07,11.83,53.36,6.5,0.23
25.86,13.46,53.83,6.33,0.53
25.88,12.56,54.77,6.53,0.25
24.25,13.25,52.5,8.5,1.5
24.69,12.22,52.57,9.05,1.47
27.87,12.13,52.13,7.87,0.0
27.74,11.68,52.8,7.79,0.0
28.24,10.65,53.01,8.1,0.0
27.62,10.95,52.62,8.81,0.0
27.83,10.61,52.36,9.2,0.0
27.94,13.58,50.65,6.79,1.04
27.08,13.54,51.04,7.29,1.04
25.82,12.41,54.94,6.84,0.0
27.93,11.97,53.76,5.87,0.47
26.77,11.06,53.54,8.63,0.0
24.8,12.13,56.33,6.74,0.0
27.23,9.82,56.03,6.92,0.0
25.34,12.13,52.56,7.82,2.16
26.81,12.08,54.35,6.52,0.24
27.55,11.73,53.83,6.89,0.0
24.46,13.62,55.11,6.81,0.0
26.25,12.89,54.18,6.68,0.0
26.2,12.98,54.33,6.49,0.0
26.13,12.83,53.92,7.13,0.0
26.2,12.98,54.09,6.73,0.0
26.09,12.8,54.35,6.76,0.0
24.53,12.27,56.0,6.93,0.27
25.07,12.81,54.87,6.96,0.28
24.38,12.74,55.68,6.93,0.28
26.4,12.69,53.55,7.36,0.0
26.62,11.94,54.23,6.97,0.25
26.34,12.68,53.9,7.07,0.0
26.4,13.6,52.27,6.67,1.07
26.4,13.6,52.27,6.67,1.07
27.61,10.67,53.6,8.12,0.0
26.39,14.17,51.67,6.67,1.11
26.17,13.73,52.07,7.25,0.78
26.5,10.91,52.34,9.35,0.89
27.79,12.16,52.85,7.2,0.0
28.11,11.75,53.46,6.45,0.23
27.15,10.6,52.98,9.05,0.22
26.48,12.06,52.72,8.75,0.0
26.04,12.04,54.79,7.13,0.0
25.13,13.37,55.35,6.15,0.0
25.66,15.34,51.32,7.67,0.0
26.18,11.56,54.95,7.08,0.24
29.15,10.99,52.24,7.62,0.0
26.06,11.74,55.16,7.04,0.0
26.2,12.53,53.99,7.29,0.0
28.35,12.31,51.65,7.47,0.22
26.11,9.77,57.32,6.79,0.0
27.93,10.81,52.7,8.56,0.0
28.09,10.69,54.3,6.92,0.0
28.1,11.01,52.46,8.43,0.0
28.07,11.14,52.44,8.35,0.0
25.87,11.19,55.24,7.23,0.47
27.67,10.93,53.49,7.91,0.0
26.83,11.24,55.28,6.19,0.46
25.75,11.6,55.22,6.96,0.46
27.12,12.11,53.51,7.02,0.24
27.14,12.14,53.33,7.14,0.24
25.06,12.04,55.53,7.37,0.0
25.8,12.1,54.57,7.53,0.0
25.9,12.39,54.28,7.43,0.0
26.41,12.71,53.55,7.09,0.24
26.46,11.89,54.85,6.8,0.0
27.27,12.29,53.32,7.13,0.0
27.11,12.69,52.49,7.71,0.0
25.87,12.44,54.48,7.21,0.0
25.92,12.47,54.28,7.33,0.0
25.93,12.35,54.57,7.16,0.0
25.87,12.44,54.73,6.97,0.0
26.24,12.87,53.71,7.18,0.0
26.54,12.32,53.32,7.58,0.24
24.67,12.73,54.91,7.16,0.53
26.38,15.35,51.08,7.19,0.0
25.63,13.07,55.03,6.28,0.0
27.27,12.82,53.15,6.76,0.0
26.64,12.85,53.74,6.78,0.0
25.74,13.24,53.92,7.11,0.0
25.74,13.24,54.17,6.86,0.0
25.68,13.33,54.07,6.91,0.0
26.64,12.85,53.74,6.78,0.0
26.44,12.26,54.09,6.97,0.24
25.56,13.28,54.64,6.52,0.0
24.81,13.42,55.19,6.58,0.0
24.6,14.44,54.28,6.68,0.0
26.61,11.01,54.13,8.26,0.0
26.96,10.62,55.2,7.22,0.0
26.82,10.94,54.94,7.3,0.0
27.85,10.55,52.74,8.86,0.0
25.99,13.86,53.22,6.44,0.5
26.36,11.59,55.68,6.14,0.23
26.35,11.71,55.63,6.08,0.23
26.24,12.62,53.22,6.93,0.99
29.02,10.71,52.68,7.59,0.0
25.26,13.68,52.37,8.42,0.26
28.48,11.56,52.68,7.28,0.0
26.81,10.0,55.96,7.02,0.21
27.56,9.84,54.13,8.46,0.0
26.88,11.61,53.12,8.39,0.0
27.14,12.14,53.33,7.14,0.24
29.6,10.99,52.02,7.4,0.0
29.64,11.09,51.58,7.69,0.0
29.5,11.04,51.35,8.11,0.0
26.76,12.44,53.29,6.81,0.7
26.07,12.09,54.98,6.87,0.0
26.39,12.59,53.03,7.26,0.73
26.56,12.44,54.31,6.7,0.0
27.14,14.32,51.07,7.26,0.21
26.1,12.72,53.73,7.46,0.0
27.27,11.92,49.7,11.11,0.0
24.94,12.58,55.06,6.52,0.9
27.27,11.09,54.77,6.43,0.44
26.65,11.23,55.29,6.39,0.44
26.61,11.31,55.21,6.43,0.44
27.45,10.89,54.9,6.1,0.65
27.09,11.45,54.63,6.39,0.44
26.75,10.75,55.26,6.58,0.66
26.93,10.82,55.63,6.18,0.44
26.62,11.41,55.03,6.26,0.67
27.17,11.36,54.79,6.24,0.45
27.21,11.34,52.61,8.62,0.23
29.04,10.48,51.75,8.73,0.0
26.96,10.87,55.65,6.09,0.43
26.07,11.24,55.73,6.29,0.67
26.61,11.31,55.43,6.21,0.44
27.35,10.99,54.71,6.28,0.67
27.42,11.01,54.83,6.29,0.45
26.68,11.06,55.1,6.51,0.65
27.42,11.01,54.83,6.29,0.45
27.49,10.86,54.99,6.21,0.44
27.38,11.09,54.75,6.33,0.45
27.4,11.42,54.34,6.39,0.46
26.59,11.59,54.55,6.82,0.45
26.68,11.43,54.71,6.73,0.45
26.17,11.19,54.81,7.38,0.45
27.09,11.23,54.63,6.61,0.44
26.71,11.04,55.19,6.62,0.44
26.8,10.89,55.34,6.54,0.44
26.68,11.43,54.71,6.73,0.45
28.07,10.75,54.39,6.14,0.66
28.06,11.14,53.9,6.24,0.67
28.13,10.77,54.51,6.15,0.44
27.33,11.06,54.66,6.51,0.43
25.85,11.56,54.88,7.26,0.45
26.64,11.51,55.08,6.32,0.45
26.58,11.26,55.18,6.53,0.45
27.55,10.85,55.1,6.07,0.43
27.53,10.79,55.07,6.17,0.44
27.49,10.86,54.99,6.21,0.44
26.89,10.89,55.56,6.22,0.44
26.93,10.82,55.63,6.18,0.44
27.47,10.99,54.95,6.15,0.44
27.21,11.28,54.87,6.19,0.44
27.19,11.69,54.38,6.29,0.45
26.97,10.75,55.7,6.14,0.44
26.87,11.01,55.51,6.17,0.44
26.89,11.33,55.11,6.22,0.44
27.51,10.92,55.02,6.11,0.44
26.91,10.94,55.58,6.13,0.44
26.33,11.28,55.97,5.97,0.44
26.91,10.94,55.36,6.35,0.44
27.53,10.97,54.84,6.24,0.43
27.59,11.04,54.75,6.18,0.44
27.53,10.97,54.84,6.24,0.43
26.9,11.06,55.31,6.29,0.43
28.05,10.71,54.18,6.64,0.43
27.59,10.78,54.96,6.25,0.43
27.47,10.73,54.72,6.65,0.43
27.53,11.45,54.63,5.95,0.44
26.96,10.87,55.0,6.74,0.43
26.86,10.92,55.24,6.33,0.66
26.79,11.16,55.13,6.03,0.89
26.17,11.19,55.7,6.04,0.89
26.93,10.82,55.63,6.18,0.44
27.53,10.79,55.07,6.17,0.44
27.48,11.26,54.5,6.31,0.45
26.89,10.89,55.56,6.22,0.44
26.54,11.18,55.92,5.92,0.44
26.52,11.3,55.87,5.87,0.43
26.15,11.47,55.73,6.19,0.46
26.49,11.7,54.97,6.4,0.44
27.54,11.02,55.08,5.93,0.42
26.57,11.66,55.08,6.26,0.43
25.93,12.09,55.16,6.37,0.44
26.23,11.71,54.8,6.56,0.7
26.21,11.72,54.94,6.44,0.69
26.4,11.19,54.81,6.94,0.67
27.13,11.21,54.48,6.5,0.67
26.77,11.06,55.53,6.19,0.44
27.7,12.16,53.6,6.53,0.0
27.94,11.97,53.66,6.43,0.0
27.49,10.82,54.98,6.71,0.0
26.34,12.28,54.24,7.14,0.0
26.39,12.04,53.94,7.64,0.0
27.68,13.13,51.31,7.64,0.24
25.56,12.9,54.09,7.44,0.0
25.78,12.22,54.67,7.33,0.0
25.87,12.01,54.04,8.08,0.0
26.93,11.26,54.97,6.84,0.0
27.64,11.59,53.66,6.91,0.2
24.95,10.1,56.29,8.45,0.21
26.55,11.5,55.53,6.42,0.0
26.46,11.93,53.8,7.81,0.0
26.45,12.04,53.76,7.74,0.0
28.21,10.51,53.89,7.0,0.39
27.05,13.18,51.59,7.27,0.91
25.79,12.67,53.62,7.24,0.68
23.74,11.07,52.92,12.27,0.0
25.63,12.36,55.15,6.86,0.0
27.22,10.76,54.85,6.96,0.21
26.42,12.97,52.83,6.84,0.94
25.06,11.53,56.32,6.65,0.44
26.57,12.59,53.38,6.53,0.93
26.57,12.59,53.38,6.53,0.93
26.5,11.98,53.92,6.68,0.92
26.51,12.33,53.49,6.74,0.93
26.57,12.59,53.38,6.53,0.93
26.35,12.71,52.94,7.06,0.94
28.28,11.07,52.87,7.58,0.2
26.2,11.57,55.68,6.33,0.22
24.59,15.85,50.82,7.38,1.37
27.25,11.59,54.51,6.44,0.21
27.56,11.78,52.67,7.56,0.44
27.73,10.7,55.02,6.55,0.0
27.73,10.7,55.02,6.55,0.0
25.17,14.22,54.31,6.29,0.0
26.23,10.87,56.29,6.61,0.0
26.12,10.92,56.1,6.64,0.21
26.27,12.14,52.98,7.95,0.66
25.18,14.53,51.57,7.51,1.21
25.9,12.95,53.0,6.71,1.44
27.36,10.66,54.33,7.44,0.2
26.31,8.36,53.83,11.5,0.0
27.03,11.79,54.07,6.91,0.2
24.94,12.72,51.4,8.65,2.29
26.56,12.24,52.89,7.39,0.92
26.51,12.33,53.26,6.98,0.93
26.45,12.53,53.36,6.73,0.93
26.33,12.47,53.58,6.7,0.92
25.4,15.24,51.07,6.95,1.34
25.34,12.33,55.02,7.08,0.23
26.45,10.74,53.72,9.09,0.0
27.19,13.6,52.63,6.36,0.22
26.29,12.22,52.59,8.9,0.0
27.54,13.32,51.02,7.22,0.9
25.84,14.38,51.69,7.87,0.22
27.31,11.39,50.49,10.81,0.0
25.86,12.59,51.72,7.78,2.06
27.77,11.47,54.12,6.64,0.0
27.7,10.18,52.95,9.16,0.0
27.59,10.14,52.74,9.53,0.0
27.27,11.42,54.33,6.55,0.42
26.47,10.0,53.73,9.8,0.0
27.17,10.21,53.18,8.86,0.58
27.37,11.37,54.53,6.53,0.21
27.25,10.69,53.46,8.6,0.0
27.59,12.03,51.66,8.71,0.0
26.4,12.3,54.14,6.94,0.22
26.54,12.06,53.51,7.46,0.44
27.09,12.33,53.74,6.83,0.0
26.73,13.36,51.45,7.57,0.89
25.16,12.58,53.15,8.46,0.65
25.59,12.8,54.5,7.11,0.0
25.71,12.97,54.25,7.08,0.0
24.88,12.92,55.02,7.18,0.0
25.64,12.82,54.55,6.99,0.0
26.21,10.68,54.37,8.35,0.39
26.79,12.7,53.58,6.93,0.0
27.13,11.6,54.27,7.0,0.0
26.95,12.03,53.9,7.13,0.0
26.9,11.5,54.88,6.72,0.0
26.91,11.23,55.08,6.78,0.0
26.87,11.3,55.01,6.82,0.0
26.9,11.5,54.88,6.72,0.0
26.84,11.69,54.76,6.71,0.0
26.88,11.61,54.84,6.67,0.0
24.94,12.92,55.23,6.68,0.22
27.33,11.71,54.01,6.72,0.22
26.49,11.7,54.75,7.06,0.0
25.73,12.42,54.63,7.22,0.0
26.32,12.28,54.39,7.02,0.0
26.48,11.82,54.7,7.0,0.0
26.25,11.71,55.31,6.72,0.0
26.49,12.14,54.3,7.06,0.0
26.57,11.66,54.86,6.91,0.0
25.17,12.81,55.38,6.41,0.23
24.94,13.16,54.73,7.16,0.0
25.06,13.33,54.94,6.67,0.0
24.94,13.05,55.24,6.76,0.0
24.94,13.05,55.24,6.76,0.0
24.88,13.36,54.61,7.14,0.0
24.71,13.18,54.82,7.29,0.0
26.33,12.61,53.76,6.64,0.66
25.53,12.88,54.57,7.03,0.0
27.06,13.76,51.15,7.11,0.92
25.39,12.36,55.19,7.06,0.0
25.44,12.72,55.04,6.8,0.0
25.39,13.14,54.79,6.68,0.0
25.22,12.5,54.91,7.14,0.22
25.28,12.42,54.99,7.1,0.22
25.39,12.8,54.97,6.84,0.0
25.49,12.53,55.16,6.81,0.0
26.55,12.17,54.42,6.86,0.0
26.55,12.17,54.42,6.86,0.0
26.54,12.28,54.39,6.8,0.0
26.06,11.86,55.08,6.99,0.0
26.9,12.64,53.33,7.13,0.0
28.04,11.52,52.61,7.83,0.0
27.73,11.57,51.53,9.17,0.0
27.72,11.29,53.18,7.8,0.0
26.99,11.51,53.97,7.53,0.0
25.71,10.59,55.77,7.75,0.19
25.84,12.92,53.67,7.13,0.45
26.77,11.78,54.82,6.42,0.21
27.11,10.84,54.62,7.43,0.0
27.63,12.72,51.97,6.36,1.32
26.91,10.5,54.2,8.21,0.19
25.52,11.0,55.81,6.85,0.83
25.41,10.95,55.58,7.23,0.83
27.08,11.67,53.75,7.5,0.0
24.94,12.94,52.47,8.71,0.94
26.03,12.19,55.17,6.4,0.21
25.89,11.66,54.35,7.91,0.2
26.28,12.69,53.9,7.13,0.0
27.03,13.41,52.31,6.81,0.44
26.81,14.68,50.0,8.3,0.21
25.65,11.33,52.88,9.34,0.8
27.87,10.86,53.28,7.99,0.0
25.44,12.06,54.82,7.02,0.66
25.49,11.98,54.9,6.97,0.65
24.89,12.01,55.46,6.99,0.66
26.75,10.91,55.56,6.79,0.0
26.75,10.91,55.56,6.79,0.0
26.36,12.85,50.54,8.93,1.31
28.15,11.97,51.89,7.98,0.0
26.83,10.98,54.27,7.72,0.2
26.9,11.29,54.62,6.98,0.21
27.6,12.31,53.5,6.58,0.0
27.27,12.12,52.38,8.23,0.0
26.61,11.49,52.42,9.27,0.2
25.94,11.29,55.25,7.52,0.0
26.75,11.18,54.89,6.99,0.2
25.98,10.74,55.86,7.23,0.2
26.98,13.06,51.82,7.49,0.64
26.61,10.57,54.79,8.02,0.0
26.54,11.89,54.35,7.22,0.0
25.22,12.5,55.7,6.58,0.0
25.26,13.36,54.91,6.47,0.0
24.52,14.42,54.57,6.49,0.0
25.12,13.49,54.65,6.74,0.0
26.24,12.69,53.76,7.1,0.22
25.33,12.44,54.89,6.89,0.44
25.53,10.44,54.74,9.28,0.0
27.79,12.37,51.12,8.72,0.0
26.91,13.14,51.69,7.2,1.06
26.13,9.8,55.35,8.53,0.18
27.4,11.55,53.82,7.05,0.2
29.45,12.24,51.05,7.27,0.0
26.88,10.87,55.93,6.32,0.0
27.6,12.1,53.08,7.01,0.21
26.24,11.57,54.75,7.23,0.21
25.53,14.98,51.9,7.17,0.42
29.33,9.36,52.65,8.66,0.0
27.36,10.14,54.53,7.97,0.0
26.19,10.62,54.95,7.51,0.73
26.86,10.16,54.99,7.99,0.0
26.41,12.04,53.98,6.99,0.58
26.23,12.43,53.65,7.1,0.59
26.13,10.34,54.81,8.35,0.36
25.64,10.81,55.13,8.24,0.18
27.17,14.37,51.77,6.69,0.0
25.05,12.74,53.93,8.07,0.21
24.9,11.95,55.78,6.77,0.6
24.8,11.9,55.56,7.14,0.6
25.9,11.45,55.62,6.83,0.2
26.14,12.85,54.03,6.97,0.0
26.14,12.85,54.03,6.97,0.0
26.09,12.61,54.13,7.17,0.0
26.43,11.24,55.03,7.3,0.0
26.27,11.37,55.29,7.06,0.0
26.51,11.11,55.17,7.21,0.0
25.87,11.58,53.86,8.69,0.0
26.42,11.74,55.19,6.65,0.0
25.99,13.22,53.52,7.27,0.0
25.39,13.25,54.08,7.28,0.0
25.55,12.78,54.41,7.27,0.0
25.39,13.14,54.12,7.35,0.0
25.54,12.66,54.94,6.87,0.0
25.53,12.66,54.85,6.96,0.0
25.47,12.42,54.74,7.37,0.0
25.52,12.76,54.81,6.9,0.0
25.37,12.58,55.22,6.82,0.0
25.37,12.58,55.22,6.82,0.0
25.37,12.68,55.18,6.77,0.0
27.02,11.83,53.25,7.69,0.2
25.39,13.25,54.08,7.28,0.0
26.68,12.42,54.38,6.52,0.0
